id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
3035,Brasileirao 2017,Coritiba,Sao Paulo,0,1,38, 62,2,,16,12,1,1,0,0,0,1,4,8
3036,2020 Brasileiro Serie A,Ceara,Athletico-PR,2,1,45, 55,0,,15,18,2,2,0,0,1,2,4,4
3037,2019 Brasileirao,Santos,Ceara,1,0,68, 32,2,,15,11,4,4,0,0,3,2,5,7
3038,Regular Season,Fortaleza,Ponte Preta,0,0,64, 35,0,,2,1,2,2,0,0,0,5,6,1
3039,"2020 Campeonato Paulista, Temporada Regular",Palmeiras,Sao Paulo,1,1,49, 51,5,,12,13,2,2,0,0,0,0,7,4
3040,"2017 FIFA Club World Cup, Semifinals",Gremio,Pachuca,1,1,47, 53,1,,18,30,2,2,0,1,3,1,6,3
3041,"2018 Campeonato Carioca, Taca Rio Playoffs - Semifinals",Fluminense,Flamengo,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3042,Brasileirao 2018,America-MG,Gremio,0,0,52, 48,3,,17,8,0,0,0,0,1,2,5,4
3043,2019 Brasileirao,Corinthians,Santos,2,1,37, 63,3,,20,12,1,1,0,0,0,5,4,3
3044,Brasileirao 2018,Cruzeiro,Sport,1,0,56, 44,4,,18,16,3,3,0,0,4,2,7,4
3045,"2022 Copa do Nordeste, Group Stage",Bahia,CSA,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3046,Brasileirao 2017,Sao Paulo,Vitoria,3,0,51, 49,3,,14,18,1,1,0,0,1,1,10,6
3047,"2019 Copa Do Brasil, Second Round",Fluminense,Ypiranga,1,0,71, 29,1,,12,9,1,1,0,0,3,0,6,2
3048,2022 Brasileiro Serie B,Cruzeiro,Bahia,4,2,54, 46,4,,14,13,1,1,1,0,4,0,6,4
3049,"2020 Campeonato Gaucho, Second Round - Semifinals",Internacional,Esportivo-RS,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3050,"2017 Copa Libertadores, Group Stage",Botafogo,Barcelona SC,2,0,51, 49,2,,12,19,3,3,0,0,2,2,5,5
3051,"2022 Copa Do Brasil, Round of 16",Athletico-PR,Bahia,2,0,60, 40,2,,6,12,2,2,0,0,2,0,7,5
3052,"2022 Brazilian Campeonato Mineiro, Playoffs - Semifinals",Cruzeiro,Athletic Club (Minas Gerais),2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3053,"2022 CONMEBOL Sudamericana, Group Stage",Internacional,Independiente Medellin,0,0,50, 50,4,,17,11,1,1,0,0,1,5,11,4
3054,Regular Season,Operario PR,Red Bull Bragantino,4,2,51, 49,0,,14,22,4,4,0,0,4,1,6,4
3055,"2018 Copa Libertadores, Quarterfinals",Gremio,Atletico Tucuman,1,2,61, 39,1,,8,9,0,0,0,1,2,0,6,2
3056,"2018 Copa Do Brasil, First Round",Aimore,Cuiaba,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3057,2020 Brasileiro Serie A,Bahia,Gremio,2,2,50, 50,4,,12,9,2,2,1,1,1,2,8,4
3058,"2020 Brazilian Campeonato Mineiro, Playoffs - Semifinals",Atletico-MG,America-MG,3,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3059,2021 Brasileiro Serie A,Palmeiras,Santos,2,1,35, 65,0,,19,21,6,6,0,0,3,0,6,5
3060,Brasileirao 2018,Botafogo,Gremio,3,0,55, 45,1,,14,12,1,1,0,0,0,2,10,4
3061,2021 Brasileiro Serie B,Coritiba,Nautico,4,0,44, 56,2,,20,21,3,3,0,0,1,2,3,5
3062,2021 Brasileiro Serie B,Coritiba,Brusque,1,1,48, 52,1,,12,15,2,2,0,0,4,0,4,6
3063,"2017 Brasileiro C, Regular Season",Fortaleza,Moto Club,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3064,"2017 Campeonato Gaucho, Regular Season",Veranopolis,Internacional,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
3065,"2017 Copa Libertadores, Group Stage",Guarani,Gremio,1,2,58, 42,3,,14,10,3,3,0,1,2,0,4,3
3066,2019 Brasileirao,Cruzeiro,Ceara,2,2,59, 41,4,,10,12,0,0,0,0,1,2,2,3
