id,champ,time_casa,time_visitante,resultados_casa,resultados_visitante,Posse_casa,Posse_visitante,defesas_casa,defesas_visitantes,falta_casa,falta_visitante,cartao_amarelo_casa,cartao_amarelo_visitante,cartao_vermelho_casa,cartao_vermelho_visitante,chute_fora_casa,chute_fora_visitante,escanteios_casa,escanteios_visitante
2,"2018 Copa Sudamericana, Second Phase",Sao Paulo,Colon (Santa Fe),0,1,69, 31,0,,17,11,2,2,1,0,2,1,4,2
3,2019 Brasileirao,Chapecoense,Internacional,2,0,43, 57,7,,15,11,1,1,0,0,0,2,3,5
4,"2020 Campeonato Paulista, Temporada Regular",Santos,Mirassol,3,1,51, 49,4,,13,13,1,1,0,0,1,2,8,8
5,2019 Brasileirao,Corinthians,Atletico-MG,1,0,45, 55,6,,9,14,1,1,0,0,0,1,10,4
6,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Guanabara",Resende,Flamengo,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
7,2020 Brasileiro Serie A,Botafogo,Fortaleza,1,2,58, 41,0,,16,15,1,1,0,0,2,2,15,9
8,2022 Brasileiro Serie A,Athletico-PR,Avai,2,1,42, 58,3,,23,17,6,6,0,0,1,0,5,4
9,Regular Season,Botafogo SP,America-MG,0,0,54, 46,4,,18,16,2,2,0,0,1,1,6,4
10,"2018 Copa Do Brasil, Third Round",Red Bull Bragantino,Vitoria,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,America-MG,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,Regular Season,Brasil de Pelotas,Red Bull Bragantino,0,1,40, 60,3,,12,23,3,3,0,0,2,0,8,6
13,2021 Brasileiro Serie B,Ponte Preta,Goias,2,1,33, 67,4,,19,16,1,1,0,0,0,3,6,3
14,"2019 Campeonato Gaucho, Regular Season",Avenida,Internacional,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,2020-21 Brasileiro Serie B,Cuiaba,Confianca,1,0,51, 48,0,,16,19,1,1,0,0,5,1,5,3
16,2022 Brasileiro Serie A,Coritiba,Fortaleza,2,1,37, 63,6,,11,22,3,3,1,0,1,1,2,6
17,2019 Brasileirao,Bahia,Gremio,1,0,43, 57,1,,8,10,2,2,0,0,0,5,10,4
18,"2022 Campeonato Paulista, Temporada Regular",Sao Bernardo,Palmeiras,1,1,30, 70,3,,15,11,1,1,0,0,2,0,5,11
19,2021 Brasileiro Serie A,Palmeiras,Bahia,3,2,57, 43,2,,10,16,4,4,0,0,6,1,7,7
20,2019 Recopa Sudamericana,Athletico-PR,River Plate,1,0,50, 50,1,,17,23,3,3,0,1,4,1,2,6
21,2019 Brasileirao,Internacional,Cruzeiro,3,1,53, 47,5,,10,14,0,0,0,1,0,0,4,3
22,2019 Brasileirao,Botafogo,Cruzeiro,0,2,56, 44,1,,15,15,3,3,0,0,1,1,12,4
23,2021 Brasileiro Serie A,Athletico-PR,Sport,0,0,59, 41,3,,10,9,1,1,0,1,2,3,9,7
24,Brasileirao 2018,Fluminense,Cruzeiro,1,0,32, 68,6,,13,19,2,2,1,0,0,3,1,7
25,"2017 Campeonato Paulista, Torneo Paulista 2017 - Temporada Regular",Corinthians,Santo Andre,0,2,71, 29,0,,15,13,2,2,0,0,1,2,9,3
26,Brasileirao 2017,Vitoria,Sao Paulo,1,2,44, 56,5,,21,16,2,2,0,0,3,1,3,8
27,Regular Season,Coritiba,Guarani,1,0,37, 63,2,,21,14,1,1,0,0,2,2,6,7
28,2021 Brasileiro Serie A,America-MG,Cuiaba,0,0,57, 43,3,,16,16,1,1,0,0,2,3,3,2
29,"2020 Campeonato Gaucho, Second Round - Group Stage",Internacional,Aimore,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,2019 Brasileirao,Goias,Gremio,3,2,45, 55,4,,21,8,1,1,0,0,1,2,7,4
31,"2022 Copa do Nordeste, Group Stage",Floresta,Fortaleza,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,2022 Brasileiro Serie B,Cruzeiro,Ponte Preta,2,0,58, 42,3,,11,11,1,1,0,1,3,2,7,4
33,2017 Serie B,Vila Nova-GO,Internacional,2,1,37, 63,1,,12,18,4,4,1,0,2,1,3,4
34,Brasileirao 2017,Athletico-PR,Vasco da Gama,3,1,42, 58,4,,8,8,2,2,0,0,1,0,7,5
35,2022 Brasileiro Serie B,Vila Nova-GO,Cruzeiro,1,0,32, 68,1,,13,13,2,2,0,0,1,0,6,7
36,Regular Season,Cuiaba,Sao Bento,3,2,47, 53,5,,24,14,3,3,0,0,2,1,5,12
37,Brasileirao 2017,Ponte Preta,Vasco da Gama,0,0,50, 50,0,,17,16,4,4,0,0,2,0,7,2
38,"2019 Copa Libertadores, Group Stage",Athletico-PR,Boca Juniors,3,0,46, 54,3,,13,13,3,3,0,0,0,2,6,2
39,"2017 Copa Do Brasil, Semifinals",Gremio,Cruzeiro,1,0,48, 52,4,,16,18,3,3,0,0,0,1,3,2
40,2022 Brasileiro Serie B,Gremio,Nautico,2,0,62, 38,1,,14,22,6,6,0,0,0,1,3,1
41,2017 Serie B,America-MG,Guarani,0,0,50, 50,3,,8,11,1,1,0,0,0,2,6,1
42,2017 Serie B,Internacional,Londrina,3,1,65, 34,0,,14,15,2,2,0,0,0,1,25,10
43,2020 Brasileiro Serie A,Palmeiras,Flamengo,1,1,59, 41,3,,14,16,2,2,0,0,1,0,5,4
44,2021 Brasileiro Serie A,Atletico-MG,Sport,3,0,60, 40,1,,18,13,3,3,0,0,0,3,6,4
45,"2019 FIFA Club World Cup, Final",Liverpool,Flamengo,1,0,47, 53,3,,22,16,2,2,0,0,3,6,5,7
46,2022 Brasileiro Serie B,Cruzeiro,Tombense,2,0,66, 34,1,,14,12,2,2,0,0,2,1,7,4
47,2021 Brasileiro Serie A,Palmeiras,Gremio,2,0,47, 53,4,,15,16,2,2,0,0,2,0,4,5
48,Regular Season,Paysandu,Fortaleza,0,1,47, 53,2,,19,11,2,2,0,0,1,5,5,7
49,2021 Brasileiro Serie A,Chapecoense,Red Bull Bragantino,0,3,44, 56,5,,9,12,0,0,0,0,0,2,5,7
50,2021 Brasileiro Serie B,Goias,CRB,1,0,36, 64,3,,29,14,3,3,0,0,1,0,6,8
51,"2021 Campeonato Carioca, Brasil Carioca - Semifinals",Fluminense,Portuguesa-RJ,3,1,46, 54,2,,23,15,5,5,0,0,1,2,6,5
52,2020 Brasileiro Serie A,Coritiba,Atletico-MG,0,1,48, 52,1,,14,19,3,3,0,0,0,2,4,4
53,2022 Brasileiro Serie A,Botafogo,Sao Paulo,1,0,33, 67,2,,17,17,3,3,0,0,1,4,3,3
54,Regular Season,Guarani,Fortaleza,2,3,39, 61,1,,7,12,2,2,0,0,1,0,4,6
55,2019 Brasileirao,Avai,Athletico-PR,0,0,38, 62,8,,12,15,1,1,0,0,2,5,2,6
56,2022 Brasileiro Serie A,Red Bull Bragantino,Sao Paulo,1,1,33, 67,6,,13,12,2,2,0,0,1,2,6,9
57,"2021 Copa Do Brasil, First Round",Boavista,Goias,3,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,"2019 Campeonato Paulista, Finals",Sao Paulo,Corinthians,0,0,57, 43,1,,15,16,1,1,0,0,0,0,10,2
59,2019 Brasileirao,Gremio,Avai,6,1,52, 48,3,,18,9,1,1,0,0,0,0,6,2
60,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Vasco da Gama,Macae,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,2019 Brasileirao,Atletico-MG,Sao Paulo,1,1,69, 31,2,,13,17,4,4,0,0,0,0,12,5
62,"2020 Campeonato Paulista, Temporada Regular",Santos,Palmeiras,0,0,52, 48,1,,22,12,1,1,0,0,1,5,7,4
63,2022 Brasileiro Serie A,Ceara,Coritiba,1,1,51, 49,4,,14,9,4,4,0,0,4,1,5,6
64,"2022 CONMEBOL Sudamericana, Group Stage",Oriente Petrolero,Fluminense,1,10,31, 69,4,,20,20,3,3,1,1,2,0,2,5
65,"2019  Club Friendly, Club Friendly",Ajax Amsterdam,Flamengo,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,"2017 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Nova Iguacu,Flamengo,0,4,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,"2018 Brasileiro C, Regular Season",Tupi,Red Bull Bragantino,0,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,"2017 Campeonato Carioca, Brazil Carioca - Taca Rio",Botafogo,Resende,3,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,Brasileirao 2018,Vitoria,Sao Paulo,0,1,61, 39,5,,8,24,2,2,0,1,0,0,4,6
70,2020 Brasileiro Serie A,Red Bull Bragantino,Vasco da Gama,4,1,53, 47,3,,12,17,0,0,0,0,1,0,3,3
71,Brasileirao 2017,Sao Paulo,Gremio,1,1,55, 45,4,,17,14,3,3,0,0,0,1,5,8
72,"2022 CONMEBOL Libertadores, Group Stage",Red Bull Bragantino,Velez Sarsfield,1,1,57, 43,4,,17,13,2,2,0,0,0,1,3,6
73,"2020 Copa Sudamericana, Second Phase",Sao Paulo,Lanus,4,3,75, 25,1,,12,13,5,5,0,0,1,1,8,2
74,2020 Brasileiro Serie A,Coritiba,Goias,1,2,57, 43,3,,13,17,3,3,0,0,2,2,6,4
75,"2021 Copa Libertadores, Group Stage",Velez Sarsfield,Flamengo,2,3,44, 56,2,,19,17,5,5,1,0,1,0,2,5
76,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Flamengo,Madureira,4,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
77,"2017 Copa Libertadores, Group Stage",Atletico-MG,Godoy Cruz Antonio Tomba,4,1,49, 51,3,,12,17,3,3,0,0,2,2,2,6
78,"2019 Copa Sudamericana, Second Phase",Union La Calera,Atletico-MG,1,0,58, 42,1,,15,8,1,1,0,0,1,4,3,4
79,2022 Brasileiro Serie A,Cuiaba,Red Bull Bragantino,1,1,43, 57,3,,14,15,3,3,0,0,0,0,5,4
80,Brasileirao 2018,Atletico-MG,America-MG,0,0,59, 41,8,,16,15,0,0,0,0,1,2,16,3
81,"2022 Campeonato Gaucho, First Round",Caxias do Sul,Internacional,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
82,"2017 Copa Libertadores, Group Stage",Independiente Santa Fe,Santos,0,0,56, 44,1,,29,15,2,2,0,1,2,4,3,1
83,"2021 Copa Libertadores, Group Stage",Internacional,Always Ready,0,0,77, 23,1,,10,19,0,0,0,0,1,3,8,2
84,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Cruzeiro,Villa Nova-MG,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
85,Brasileirao 2018,Vitoria,Bahia,2,2,50, 50,0,,18,25,4,4,0,0,3,3,4,5
86,"2021 Campeonato Carioca, Taca Guanabara",Vasco da Gama,Bangu,4,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
87,Brasileirao 2017,Vasco da Gama,Santos,0,0,44, 56,0,,16,25,2,2,0,1,1,0,9,3
88,"2017 Copa Sudamericana, Round of 16",Flamengo,Chapecoense,4,0,58, 42,3,,13,19,2,2,0,0,4,1,5,3
89,Brasileirao 2017,Chapecoense,Atletico-MG,0,1,68, 32,2,,24,19,5,5,0,0,2,7,8,0
90,2019 Brasileirao,Ceara,Internacional,2,0,41, 59,3,,8,11,2,2,0,0,3,1,6,4
91,"2017 Copa Do Brasil, Round of 16",Internacional,Palmeiras,2,1,47, 53,3,,14,13,5,5,0,0,3,7,6,3
92,"2018 Copa Do Brasil, Third Round",Goias,Coritiba,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
93,2017 Serie B,Nautico,America-MG,0,0,37, 62,0,,15,11,1,1,0,0,1,2,2,14
94,"2022 Campeonato Paulista, Temporada Regular",Guarani,Sao Paulo,2,1,30, 70,2,,12,14,1,1,0,0,0,1,3,6
95,2021 Brasileiro Serie A,Flamengo,Corinthians,1,0,57, 43,1,,15,8,2,2,0,0,2,0,8,1
96,"2019 Copa Do Brasil, Fourth Round",Santa Cruz,Fluminense,2,0,40, 60,6,,23,18,3,3,0,0,2,3,7,5
97,2020 Brasileiro Serie A,Goias,Red Bull Bragantino,0,0,43, 56,0,,18,20,0,0,0,0,1,1,3,21
98,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Guanabara",Americano Campos,Fluminense,0,4,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
99,"2022 Campeonato Carioca, Taca Guanabara",Fluminense,Vasco da Gama,2,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
100,"2019 Copa Libertadores, Second Stage",Sao Paulo,Talleres (Cordoba),0,0,61, 39,2,,15,12,2,2,1,0,4,1,1,5
101,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Rio",Americano Campos,Botafogo,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
102,"2021 Campeonato Paulista, Temporada Regular",Red Bull Bragantino,Ferroviaria,0,0,57, 43,2,,20,25,2,2,0,0,1,3,2,11
103,Regular Season,Fortaleza,Paysandu,1,0,64, 36,2,,15,18,2,2,0,0,2,2,8,1
104,"2021 Copa Do Brasil, Semifinals",Flamengo,Athletico-PR,0,3,77, 23,0,,8,11,2,2,0,1,2,1,9,1
105,"2017 Campeonato Carioca, Taca Rio Playoffs - Semifinals",Vasco da Gama,Flamengo,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
106,2020-21 Brasileiro Serie B,Avai,Cruzeiro,1,1,53, 46,0,,14,13,4,4,0,0,3,0,5,17
107,"2020 Copa Do Brasil, Quarterfinals",Cuiaba,Gremio,1,2,44, 56,3,,14,14,1,1,0,0,0,3,6,9
108,2021 Brasileiro Serie A,Santos,Corinthians,0,0,57, 43,5,,17,9,1,1,0,0,3,1,5,3
109,2019 Brasileirao,Cruzeiro,Flamengo,1,2,42, 58,3,,9,14,2,2,0,0,3,0,1,4
110,2020 Brasileiro Serie A,Internacional,Red Bull Bragantino,2,1,36, 64,5,,11,12,0,0,0,0,0,0,3,7
111,2019 Brasileirao,Goias,Santos,0,3,44, 56,8,,19,16,2,2,0,0,2,3,5,4
112,2022 Brasileiro Serie A,Avai,Corinthians,1,1,41, 59,3,,11,12,1,1,0,0,4,2,2,8
113,"2020 Campeonato Paulista, Temporada Regular",Novorizontino,Corinthians,1,1,39, 61,1,,16,16,2,2,0,0,0,3,5,10
114,2020 Brasileiro Serie A,Fluminense,Flamengo,1,2,47, 53,4,,15,16,1,1,0,0,1,2,7,6
115,"2022 Copa Do Brasil, Semifinals",Corinthians,Fluminense,3,0,37, 63,4,,10,9,1,1,0,0,5,2,5,10
116,2020 Brasileiro Serie A,Flamengo,Goias,2,1,66, 34,3,,12,12,4,4,0,0,1,4,9,4
117,"2019-20 Campeonato Carioca, 2019 Brazil Carioca - Taca Rio",Botafogo,Portuguesa-RJ,4,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
118,Brasileirao 2018,Athletico-PR,Vasco da Gama,1,0,55, 45,3,,15,14,2,2,0,0,1,1,8,5
119,"2019 Brazilian Campeonato Miniero, Brasil Mineiro - Finals",Cruzeiro,Atletico-MG,2,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
120,2017 Serie B,Londrina,America-MG,0,0,50, 50,3,,18,25,0,0,0,0,4,0,7,6
121,"2021 Copa Libertadores, Round of 16",Olimpia,Internacional,0,0,46, 54,3,,13,10,2,2,0,0,1,0,8,3
122,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,Patrocinense,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
123,Brasileirao 2017,Santos,Gremio,1,0,42, 58,2,,22,14,2,2,0,0,3,2,5,5
124,"2018 Copa Do Brasil, Fourth Round",Internacional,Vitoria,2,1,60, 40,2,,17,17,1,1,0,0,3,0,5,2
125,2021 Brasileiro Serie A,Red Bull Bragantino,Chapecoense,1,2,55, 45,4,,17,13,2,2,1,0,2,1,3,6
126,"2019 Copa Libertadores, Third Stage",Defensor Sporting,Atletico-MG,0,2,48, 52,4,,6,14,2,2,0,0,3,3,7,6
127,"2022 Copa Do Brasil, Third Round",Cruzeiro,Remo,1,0,63, 37,1,,18,17,2,2,0,0,5,3,7,0
128,"2019 Brazilian Campeonato Miniero, Brasil Mineiro",America-MG,Villa Nova-MG,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
129,"2020 Copa Libertadores, Group Stage",America de Cali,Gremio,0,2,55, 45,1,,10,7,2,2,0,0,0,1,10,3
130,Brasileirao 2018,Vasco da Gama,Palmeiras,0,1,50, 50,2,,17,18,5,5,1,0,0,2,5,14
131,2022 Brasileiro Serie A,Santos,Ceara,0,0,51, 49,4,,9,13,5,5,0,1,2,1,6,2
132,"2022 Campeonato Paulista, Temporada Regular",Palmeiras,Ponte Preta,3,0,55, 45,1,,20,13,3,3,0,0,3,0,5,4
133,"2018 Campeonato Gaucho, Final",Brasil de Pelotas,Gremio,0,3,26, 74,3,,19,10,1,1,1,0,0,1,4,3
134,Brasileirao 2017,Vitoria,Santos,0,2,60, 40,4,,15,10,1,1,0,0,4,4,8,5
135,2021 Brasileiro Serie A,Atletico-MG,Athletico-PR,2,0,60, 40,1,,14,12,3,3,1,0,1,1,4,2
136,"2019 Campeonato Gaucho, Regular Season",Aimore,Gremio,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
137,2022 Brasileiro Serie A,Internacional,Flamengo,3,1,32, 68,2,,15,14,3,3,0,0,3,1,5,4
138,2021 Recopa Sudamericana,Palmeiras,Defensa y Justicia,1,2,42, 58,4,,14,19,3,3,1,1,2,2,2,5
139,Brasileirao 2018,Corinthians,Internacional,1,1,54, 46,1,,13,11,2,2,0,0,1,1,2,3
140,Brasileirao 2017,Vitoria,Corinthians,0,1,47, 53,3,,13,6,1,1,0,0,0,2,3,4
141,Brasileirao 2017,Flamengo,Coritiba,2,1,50, 50,2,,20,24,6,6,0,0,1,1,6,1
142,"2021 Campeonato Paulista, Temporada Regular",Palmeiras,Inter de Limeira,0,1,54, 46,4,,20,13,2,2,0,0,1,1,6,5
143,"2018 Copa Do Brasil, Quarterfinals",Gremio,Flamengo,1,1,42, 58,7,,18,5,1,1,0,0,0,0,2,8
144,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Atletico-MG,Cruzeiro,0,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
145,"2017 Copa Libertadores, Second Stage",Millonarios,Athletico-PR,1,0,64, 36,3,,21,15,2,2,0,0,5,2,13,3
146,2022 Brasileiro Serie A,Athletico-PR,Ceara,1,0,40, 60,3,,19,8,4,4,0,0,1,1,4,9
147,"2019-20 Campeonato Carioca, Brasil Carioca - Finals",Flamengo,Fluminense,1,0,66, 34,1,,21,30,1,1,0,0,1,0,6,2
148,Brasileirao 2018,Bahia,Vasco da Gama,3,0,51, 49,1,,20,16,5,5,0,1,3,2,4,2
149,2019 Brasileirao,Sao Paulo,Fluminense,0,2,56, 44,2,,6,16,1,1,0,0,0,1,2,2
150,2020 Brasileiro Serie A,Sao Paulo,Bahia,1,1,68, 32,3,,14,16,2,2,0,0,4,1,5,6
151,Brasileirao 2018,Palmeiras,Botafogo,2,0,69, 31,4,,14,17,4,4,0,1,3,0,11,3
152,"2022 Campeonato Paulista, Temporada Regular",Santo Andre,Corinthians,0,1,41, 59,3,,16,10,1,1,0,0,2,1,3,10
153,Regular Season,CSA,Coritiba,2,2,63, 37,4,,9,18,6,6,0,0,3,2,10,6
154,2021 Brasileiro Serie A,Flamengo,Cuiaba,0,0,70, 30,0,,12,7,1,1,0,0,1,2,12,2
155,Brasileirao 2018,America-MG,Fluminense,0,0,53, 47,4,,13,8,0,0,1,0,1,0,4,4
156,"2017 Copa Sudamericana, First Phase",Corinthians,Universidad de Chile,2,0,44, 56,5,,13,11,1,1,0,0,0,3,1,6
157,Regular Season,Boa Esporte,Goias,1,0,42, 58,2,,17,19,2,2,0,0,2,1,7,6
158,"2018 Brasileiro C, SEMIFINALS",Cuiaba,Botafogo SP,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
159,Brasileirao 2018,Sao Paulo,Ceara,1,0,58, 42,3,,13,21,6,6,0,1,0,2,8,5
160,"2019 Copa do Nordeste, Copa do Nordeste - Group Stage",Bahia,Salgueiro,3,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
161,"2017 Brazilian Campeonato Miniero, Brasil Mineiro",URT,Cruzeiro,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
162,"2018 Brasileiro C, Regular Season",Luverdense,Cuiaba,1,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
163,Brasileirao 2018,Sao Paulo,Chapecoense,2,0,39, 61,2,,17,20,1,1,0,0,1,1,2,6
164,2019 Brasileirao,Botafogo,Ceara,1,1,50, 50,1,,12,19,2,2,0,0,0,2,4,6
165,"2017 Copa Libertadores, Group Stage",Athletico-PR,San Lorenzo,0,3,60, 40,1,,13,18,3,3,0,0,1,1,3,5
166,Brasileirao 2017,Athletico-PR,Flamengo,1,1,43, 57,3,,10,12,0,0,0,0,3,0,5,5
167,"2021 Brazilian Campeonato Mineiro, Regular Season",Patrocinense,Atletico-MG,1,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
168,Brasileirao 2017,Sport,Corinthians,1,0,47, 53,4,,19,18,2,2,0,0,6,1,10,0
169,"2017 Campeonato Gaucho, Semifinals",Internacional,Caxias do Sul,1,0,57, 43,0,,19,15,3,3,1,0,0,3,12,5
170,2021 Brasileiro Serie A,Atletico-GO,Athletico-PR,0,2,60, 40,2,,12,16,3,3,0,0,2,1,11,7
171,"2018 Campeonato Paulista, Torneo Paulista 2018 - Semifinal",Santos,Palmeiras,0,1,55, 45,3,,13,18,3,3,0,0,0,2,9,4
172,Brasileirao 2017,Gremio,Athletico-PR,0,0,52, 48,3,,11,26,2,2,0,0,2,0,2,2
173,"2017 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Portuguesa-RJ,Fluminense,0,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
174,2021 Brasileiro Serie A,Santos,Flamengo,0,4,50, 50,7,,14,14,4,4,0,0,3,2,4,5
175,Brasileirao 2017,Gremio,Chapecoense,0,1,77, 23,4,,6,19,5,5,0,0,8,0,9,6
176,2020 Brasileiro Serie A,Corinthians,Athletico-PR,3,3,44, 55,0,,17,11,0,0,0,0,0,0,2,6
177,"2020 Campeonato Gaucho, First Round - Group Stage",Ypiranga,Internacional,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
178,2019 Brasileirao,Athletico-PR,CSA,1,0,66, 34,0,,15,15,4,4,0,0,3,2,6,2
179,"2017 Brasileiro C, Regular Season",Cuiaba,Moto Club,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
180,2022 Brasileiro Serie A,Atletico-MG,Goias,0,1,73, 27,2,,10,13,0,0,0,0,0,2,7,0
181,2022 Brasileiro Serie A,Avai,Athletico-PR,1,1,69, 31,1,,17,20,3,3,0,1,1,1,7,2
182,2021 Brasileiro Serie A,Sport,Flamengo,1,1,48, 52,6,,13,11,3,3,0,0,0,0,6,6
183,2020 Brasileiro Serie A,Santos,Fluminense,1,1,62, 38,2,,20,19,4,4,0,1,1,1,4,4
184,"2022 Campeonato Paulista, Temporada Regular",Ponte Preta,Sao Paulo,1,2,24, 76,5,,8,11,2,2,0,0,1,0,2,5
185,2019 Brasileirao,Goias,Flamengo,2,2,37, 63,4,,18,15,3,3,0,1,4,0,3,9
186,2019 Brasileirao,Fortaleza,Cruzeiro,2,1,46, 54,3,,10,15,6,6,1,0,1,2,6,5
187,"2017 Copa Libertadores, Group Stage",Atletico Tucuman,Palmeiras,1,1,65, 35,3,,16,12,2,2,0,1,0,0,9,2
188,Brasileirao 2018,Sport,Bahia,2,0,47, 53,1,,18,21,1,1,0,1,1,0,9,7
189,"2021 Campeonato Paulista, Temporada Regular",Inter de Limeira,Sao Paulo,0,4,44, 55,0,,17,21,2,2,1,0,0,2,3,4
190,"2022 Brazilian Campeonato Mineiro, Regular Season",Pouso Alegre,Atletico-MG,2,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
191,"2017 Campeonato Carioca, Brazil Carioca - Taca Rio",Fluminense,Nova Iguacu,1,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
192,Brasileirao 2017,Coritiba,Palmeiras,1,0,44, 56,4,,14,17,3,3,0,0,7,1,2,8
193,"2019-20 Campeonato Carioca, 2020 Taca Guanabara",Resende,Flamengo,1,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
194,"2021 Campeonato Carioca, Taca Guanabara",Volta Redonda,Vasco da Gama,1,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
195,"2022 Campeonato Paulista, Temporada Regular",Mirassol,Red Bull Bragantino,3,1,40, 60,1,,18,11,2,2,0,0,1,0,6,3
196,2021 Brasileiro Serie A,Palmeiras,Juventude,1,1,73, 27,3,,19,13,1,1,0,0,3,1,8,2
197,2021 Brasileiro Serie A,Internacional,Bahia,2,0,58, 42,2,,19,15,2,2,0,0,0,0,8,7
198,2020-21 Brasileiro Serie B,Cuiaba,CSA,0,1,54, 45,0,,18,27,4,4,0,0,1,2,10,6
199,"2018 Campeonato Carioca, Brazil Carioca - Taca Rio",Botafogo,Vasco da Gama,2,3,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
200,"2018 Brazilian Campeonato Miniero, Brasil Mineiro",Uberlandia,Atletico-MG,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
201,"2017 Brazilian Campeonato Miniero, Brasil Mineiro Playoffs - Semifinals",America-MG,Cruzeiro,1,1,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
202,"2017 Copa Do Brasil, First Round",Sergipe SE,Bahia,0,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
203,2019 Brasileirao,Fluminense,Avai,0,1,60, 40,1,,14,15,1,1,0,0,0,0,12,2
204,"2018 Campeonato Carioca, Brazil Carioca - Taca Guanabara",Botafogo,Portuguesa-RJ,2,2,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
205,2020 Brasileiro Serie A,Atletico-MG,Atletico-GO,3,1,60, 40,2,,13,14,3,3,0,0,0,2,10,9
206,"2017 Copa Libertadores, Group Stage",Zamora,Gremio,0,2,44, 56,2,,10,8,0,0,0,0,0,0,10,4
207,Brasileirao 2018,Ceara,Gremio,0,1,40, 60,4,,15,13,2,2,0,0,1,0,6,3
208,"2017 Brasileiro C, FINALS",CSA,Fortaleza,0,0,nan,,nan,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
